id	name	net	age	home	industry
209 	Amos Hostetter  Jr.	3.1	78	Boston  MA	cable television
209 	Donald Sterling	3.1	79	Beverly Hills  CA	real estate
211 	Robert Bass	3	67	Fort Worth  TX	oil  investments
211 	Austen Cargill  II.	3	64	Livingston  MT	Cargill
211 	James Cargill  II.	3	66	Birchwood  WI	Cargill
211 	Mark Cuban	3	57	Dallas  TX	online media
211 	Ray Davis	3	74	Dallas  TX	pipelines
211 	Robert Duggan	3	71	Palo Alto  CA	pharmaceuticals
211 	Ken Fisher	3	65	Camas  WA	money management
211 	James Leprino	3	78	Indian Hills  CO	cheese
211 	Marianne Liebmann	3	62	Bozeman  MT	Cargill
211 	Thomas Pritzker	3	65	Chicago  IL	hotels  investments
211 	Richard Rainwater	3	71	s,x	real estate  energy  insurance
211 	David Rockefeller  Sr.	3	100	Sleepy Hollow  NY	oil  banking
211 	Bernard Saul  II.	3	83	Chevy Chase  MD	banking  real estate
211 	Harry Stine	3	74	Adel  IA	agriculture
211 	Roger Wang	3	66	Nanjing	retail
211 	Oprah Winfrey	3	61	Montecito  CA	TV shows
227 	John Arnold	2.9	41	Houston  TX	hedgefund
227 	Riley Bechtel	2.9	63	San Francisco  CA	engineering  construction
227 	Stephen Bechtel  Jr.	2.9	90	San Francisco  CA	engineering  construction
227 	Doris Fisher	2.9	84	San Francisco  CA	Gap
227 	David Murdock	2.9	92	Los Angeles  CA	Dole  real estate
227 	Wilbur Ross  Jr.	2.9	78	Palm Beach  FL	investments
227 	Howard Schultz	2.9	62	Seattle  WA	Starbucks
234 	Jack Dangermond	2.8	70	Redlands  CA	mapping software
234 	John Paul DeJoria	2.8	71	Austin  TX	hair products  tequila
234 	Dagmar Dolby	2.8	74	San Francisco  CA	Dolby Laboratories
234 	Jimmy Haslam	2.8	61	Knoxville  TN	gas stations  retail
234 	Kenneth Langone	2.8	80	Sands Point  NY	investments
234 	John Overdeck	2.8	45	Millburn  NJ	hedgefund
234 	Richard Schulze	2.8	74	Bonita Springs  FL	Best Buy
234 	David Siegel	2.8	54	Scarsdale  NY	hedgefund
234 	Herbert Simon	2.8	81	Indianapolis  IN	real estate
234 	Clemmie Spangler  Jr.	2.8	83	Charlotte  NC	investments
234 	Peter Thiel	2.8	48	San Francisco  CA	Facebook  Palantir
234 	Romesh T. Wadhwani	2.8	68	Palo Alto  CA	software
246 	Karen Johnson Boyd	2.7	91	Mount Pleasant  WI	cleaning products
246 	Andrew &amp; Peggy Cherng	2.7	80	Las Vegas  NV	restaurants
246 	John Fisher	2.7	54	San Francisco  CA	Gap
246 	Don Hankey	2.7	72	Malibu  CA	auto loans
246 	Edward Lampert	2.7	53	Miami Beach  FL	Sears
246 	Daniel Loeb	2.7	54	New York  NY	hedgefund
246 	Herbert Louis	2.7	87	Phoenix  AZ	cleaning products
246 	Josephine Louis	2.7	85	Winnetka  IL	cleaning products
246 	Michael Moritz	2.7	61	San Francisco  CA	venture capital
246 	A. Jerrold Perenchio	2.7	85	Bel Air  CA	television  Univision
256 	William Ackman	2.6	49	New York  NY	hedgefund
256 	David Bonderman	2.6	73	Fort Worth  TX	private equity
256 	William Conway  Jr.	2.6	66	McLean  VA	private equity
256 	Daniel D'Aniello	2.6	69	Vienna  VA	private equity
256 	Bennett Dorrance	2.6	69	Paradise Valley  AZ	Campbell Soup
256 	Judy Faulkner	2.6	72	Madison  WI	health IT
256 	H. Wayne Huizenga	2.6	77	Fort Lauderdale  FL	investments
256 	John Middleton	2.6	60	Bryn Mawr  PA	tobacco
256 	David Rubenstein	2.6	66	Bethesda  MD	private equity
256 	Michael Rubin	2.6	43	Bryn Mawr  PA	online retailing
256 	Henry Samueli	2.6	61	Newport Beach  CA	semiconductors
256 	William Wrigley  Jr.	2.6	52	North Palm Beach  FL	chewing gum
268 	Arthur Blank	2.5	73	Atlanta  GA	Home Depot
268 	Bharat Desai	2.5	63	Fisher Island  FL	IT consulting
268 	Barry Diller	2.5	73	New York  NY	online media
268 	Joshua Harris	2.5	51	New York  NY	private equity
268 	Henry Hillman	2.5	97	Pittsburgh  PA	investments
268 	Michael Milken	2.5	69	Los Angeles  CA	investments
268 	Sean Parker	2.5	36	New York  NY	Facebook
268 	Robert Smith	2.5	53	Austin  TX	private equity
268 	Warren Stephens	2.5	58	Little Rock  AR	investment banking
268 	Dean White	2.5	92	Crown Point  IN	billboards  hotels
268 	Mortimer Zuckerman	2.5	78	New York  NY	real estate  media
279 	George Bishop	2.4	78	The Woodlands  TX	oil &amp; gas
279 	Jim Breyer	2.4	54	Woodside  CA	venture capital
279 	James Dinan	2.4	56	New York  NY	hedgefund
279 	David Filo	2.4	49	Palo Alto  CA	Yahoo
279 	Douglas Leone	2.4	58	Atherton  CA	venture capital
279 	Stephen Mandel  Jr.	2.4	59	Greenwich  CT	hedgefund
279 	C. Dean Metropoulos	2.4	69	Palm Beach  FL	investments
279 	Penny Pritzker	2.4	56	Chicago  IL	hotels  investments
279 	Gary Rollins	2.4	71	Atlanta  GA	pest control
279 	Randall Rollins	2.4	84	Atlanta  GA	pest control
279 	Marc Rowan	2.4	53	New York  NY	private equity
279 	Phillip Ruffin	2.4	80	Las Vegas  NV	casinos  real estate
279 	Patrick Ryan	2.4	78	Winnetka  IL	insurance
279 	Steve Wynn	2.4	73	Las Vegas  NV	casinos  hotels
293 	John Arrillaga	2.3	78	Portola Valley  CA	real estate
293 	Tilman Fertitta	2.3	58	Houston  TX	restaurants  casinos
293 	Tom Golisano	2.3	74	Naples  FL	payroll services
293 	Noam Gottesman	2.3	54	New York  NY	hedgefund
293 	B. Wayne Hughes	2.3	82	Lexington  KY	self storage
293 	W. Herbert Hunt	2.3	86	Dallas  TX	oil
293 	James Irsay	2.3	56	Carmel  IN	Indianapolis Colts
293 	Richard Peery	2.3	77	Palo Alto  CA	real estate
293 	Jean (Gigi) Pritzker	2.3	53	Chicago  IL	hotels  investments
293 	John Pritzker	2.3	62	San Francisco  CA	hotels  investments
293 	Larry Robbins	2.3	46	Alpine  NJ	hedgefund
293 	Thomas Siebel	2.3	63	Woodside  CA	business software
293 	Pat Stryker	2.3	59	Fort Collins  CO	medical equipment
293 	Ty Warner	2.3	71	Oak Brook  IL	real estate  plush toys
307 	Ron Baron	2.2	72	New York  NY	money management
307 	Tom Benson	2.2	88	New Orleans  LA	New Orleans Saints
307 	John Brown	2.2	81	Portage  MI	medical equipment
307 	Chase Coleman  III.	2.2	40	New York  NY	hedge fund
307 	James Coulter	2.2	56	San Francisco  CA	private equity
307 	Jack Dorsey	2.2	39	San Francisco  CA	Twitter
307 	John Henry	2.2	66	Boca Raton  FL	sports
307 	Johnelle Hunt	2.2	83	Fayetteville  AR	trucking
307 	Michael Jaharis	2.2	87	New York  NY	pharmaceuticals
307 	Min Kao	2.2	66	Leawood  KS	navigation equipment
307 	Brad Kelley	2.2	59	Franklin  TN	tobacco
307 	William Koch	2.2	75	Palm Beach  FL	oil  investments
307 	Jeffrey Lorberbaum	2.2	61	Chattanooga  TN	flooring
307 	Joe Mansueto	2.2	59	Chicago  IL	investment research
307 	Gabe Newell	2.2	53	Seattle  WA	videogames
307 	Robert Pera	2.2	37	San Jose  CA	wireless networking gear
307 	Stewart Rahr	2.2	69	New York  NY	drug distribution
307 	Ted Turner	2.2	77	Atlanta  GA	cable television
307 	Vincent Viola	2.2	59	New York  NY	electronic trading
307 	Mark Walter	2.2	54	Chicago  IL	finance
327 	S. Daniel Abraham	2.1	91	Palm Beach  FL	Slim-Fast
327 	Gerald Ford	2.1	71	Dallas  TX	banking
327 	Gordon Getty	2.1	82	San Francisco  CA	Getty Oil
327 	Alec Gores	2.1	62	Beverly Hills  CA	private equity
327 	Bill Haslam	2.1	57	Knoxville  TN	truck stops
327 	Stanley Hubbard	2.1	82	St. Paul  MN	DirecTV
327 	Bob Parsons	2.1	65	Scottsdale  AZ	web hosting
327 	Jay Paul	2.1	68	San Francisco  CA	real estate
327 	Forrest Preston	2.1	82	Cleveland  TN	health care
327 	Daniel Pritzker	2.1	56	Marin County  CA	hotels  investments
327 	Paul Singer	2.1	70	New York  NY	hedgefund
327 	Dan Snyder	2.1	51	Potomac  MD	Washington Redskins
327 	Evan Spiegel	2.1	25	Los Angeles  CA	Snapchat
327 	Jon Stryker	2.1	57	Kalamazoo  MI	medical equipment
327 	Anita Zucker	2.1	63	Charleston  SC	chemicals
342 	George Argyros	2	78	Newport Beach  CA	real estate  investments
342 	Edward Bass	2	70	Fort Worth  TX	oil  investments
342 	Lee Bass	2	59	Fort Worth  TX	oil  investments
342 	Sid Bass	2	72	Fort Worth  TX	oil  investments
342 	Norman Braman	2	83	Miami  FL	art  car dealerships
342 	Glenn Dubin	2	58	New York  NY	hedgefund
342 	James France	2	71	Daytona Beach  FL	Nascar  racing
342 	Bill Gross	2	71	Laguna Beach  CA	investments
342 	Bruce Karsh	2	60	Los Angeles  CA	private equity
342 	Thomas Lee	2	71	New York  NY	leveraged buyouts
342 	Howard Marks	2	69	New York  NY	private equity
342 	Manuel Moroun	2	88	Grosse Pointe Shores  MI	transportation
342 	Jonathan Nelson	2	59	Providence  RI	private equity
342 	Roger Penske	2	78	Birmingham  MI	cars
342 	David Walentas	2	77	New York  NY	real estate
342 	Meg Whitman	2	59	Atherton  CA	eBay
358 	Timothy Boyle	1.9	66	Portland  OR	Columbia Sportswear
358 	John Farber	1.9	90	New York  NY	chemicals
358 	Timothy Headington	1.9	65	Dallas  TX	oil &amp; gas  investments
358 	Hamilton James	1.9	64	New York  NY	investments
358 	Marc Lasry	1.9	55	New York  NY	hedgefund
358 	Craig McCaw	1.9	66	Hunts Point  WA	telecom
358 	Henry Nicholas  III.	1.9	56	Newport Coast  CA	semiconductors
358 	Nelson Peltz	1.9	73	Bedford  NY	investments
358 	Julio Mario Santo Domingo  III.	1.9	30	New York  NY	beer
358 	Thomas Secunda	1.9	61	Croton-on-Hudson  NY	Bloomberg LP
358 	Kavitark Ram Shriram	1.9	58	Menlo Park  CA	venture capital  Google
358 	Glen Taylor	1.9	74	Mankato  MN	printing
358 	Ronald Wanek	1.9	74	St. Petersburg  FL	furniture
358 	Denise York	1.9	65	Youngstown  OH	San Francisco 49ers
372 	James Clark	1.85	71	Palm Beach  FL	Netscape  investments
372 	Fayez Sarofim	1.85	87	Houston  TX	money management
372 	Amy Wyss	1.85	44	Wilson  WY	medical equipment
375 	Louis Bacon	1.8	57	Oyster Bay  NY	hedgefund
375 	Scott Cook	1.8	63	Woodside  CA	software
375 	David Einhorn	1.8	47	Westchester County  NY	hedgefund
375 	Kenneth Feld	1.8	67	Tampa  FL	circus  live entertainment
375 	Joseph Grendys	1.8	53	Chicago  IL	meat processing
375 	Aerin Lauder Zinterhofer	1.8	45	New York  NY	cosmetics
375 	Drayton McLane  Jr.	1.8	79	Temple  TX	Wal-Mart  logistics
375 	Gail Miller	1.8	72	Salt Lake City  UT	basketball  car dealers
375 	Arturo Moreno	1.8	69	Phoenix  AZ	billboards
375 	Bobby Murphy	1.8	27	Venice  CA	Snapchat
375 	Linda Pritzker	1.8	61	Missoula  MT	hotels  investments
375 	Leonard Schleifer	1.8	63	Tarrytown  NY	pharmaceuticals
375 	Mark Stevens	1.8	55	Atherton  CA	venture capital
375 	Evan Williams	1.8	43	San Francisco  CA	Twitter
389 	Victor Fung	1.75	70	Hong Kong	trading company
389 	Jennifer Pritzker	1.75	64	Chicago  IL	hotels  investments
389 	Nicholas Woodman	1.75	40	Woodside  CA	GoPro
392 	Herb Chambers	1.7	73	Boston  MA	car dealerships
392 	Christopher Cline	1.7	57	North Palm Beach  FL	coal
392 	Sanford Diller	1.7	87	Woodside  CA	real estate
392 	Frank Fertitta  III.	1.7	53	Las Vegas  NV	casinos  Ultimate Fighting Championship
392 	Lorenzo Fertitta	1.7	46	Las Vegas  NV	casinos  Ultimate Fighting Championship
392 	Anne Gittinger	1.7	79	Seattle  WA	Nordstrom department stores
392 	Jonathan Gray	1.7	45	New York  NY	investments
392 	Jerry Yang	1.7	47	Los Altos Hills  CA	Yahoo
